Date,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Temperature (°C),Wind Speed (m/s),Pressure (Pa)
2023/1/1 1:00 AM,34 °F,34 °F,100 %,W,7 mph,0 mph,29.17 in,0.0 in,Light Rain,1.1111111111111112,3.12928,98780.9963
2023/1/1 2:00 AM,34 °F,32 °F,93 %,W,6 mph,0 mph,29.15 in,0.0 in,Cloudy,1.1111111111111112,2.68224,98713.26849999999
2023/1/1 3:00 AM,34 °F,32 °F,93 %,W,9 mph,0 mph,29.14 in,0.0 in,Cloudy,1.1111111111111112,4.02336,98679.4046
2023/1/1 4:00 AM,34 °F,32 °F,93 %,W,9 mph,0 mph,29.13 in,0.0 in,Cloudy,1.1111111111111112,4.02336,98645.5407
2023/1/1 5:00 AM,32 °F,30 °F,93 %,W,12 mph,0 mph,29.13 in,0.0 in,Cloudy,0.0,5.36448,98645.5407
2023/1/1 5:28 AM,32 °F,32 °F,100 %,WNW,12 mph,0 mph,29.13 in,0.0 in,Cloudy,0.0,5.36448,98645.5407
2023/1/1 6:00 AM,32 °F,30 °F,93 %,WNW,12 mph,0 mph,29.13 in,0.0 in,Light Drizzle,0.0,5.36448,98645.5407
2023/1/1 7:00 AM,32 °F,30 °F,93 %,W,16 mph,0 mph,29.15 in,0.0 in,Light Snow,0.0,7.15264,98713.26849999999
2023/1/1 8:00 AM,30 °F,30 °F,100 %,W,16 mph,22 mph,29.16 in,0.0 in,Cloudy,-1.1111111111111112,7.15264,98747.1324
2023/1/1 9:00 AM,30 °F,28 °F,93 %,W,17 mph,0 mph,29.18 in,0.0 in,Cloudy,-1.1111111111111112,7.59968,98814.8602
2023/1/1 10:00 AM,28 °F,28 °F,100 %,W,17 mph,0 mph,29.20 in,0.0 in,Light Snow,-2.2222222222222223,7.59968,98882.58799999999
2023/1/1 11:00 AM,28 °F,27 °F,93 %,W,16 mph,0 mph,29.22 in,0.0 in,Light Snow,-2.2222222222222223,7.15264,98950.3158
2023/1/1 12:00 PM,28 °F,27 °F,93 %,W,20 mph,0 mph,29.22 in,0.0 in,Cloudy,-2.2222222222222223,8.9408,98950.3158
2023/1/1 1:00 PM,28 °F,25 °F,86 %,W,17 mph,0 mph,29.22 in,0.0 in,Cloudy,-2.2222222222222223,7.59968,98950.3158
2023/1/1 2:00 PM,28 °F,23 °F,80 %,WNW,15 mph,0 mph,29.23 in,0.0 in,Cloudy,-2.2222222222222223,6.7056,98984.1797
2023/1/1 3:00 PM,27 °F,23 °F,86 %,W,13 mph,0 mph,29.26 in,0.0 in,Cloudy,-2.7777777777777777,5.81152,99085.7714
2023/1/1 4:00 PM,27 °F,21 °F,80 %,W,12 mph,0 mph,29.25 in,0.0 in,Mostly Cloudy,-2.7777777777777777,5.36448,99051.9075
2023/1/1 5:00 PM,27 °F,21 °F,80 %,W,9 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy,-2.7777777777777777,4.02336,99119.6353
2023/1/1 6:00 PM,23 °F,18 °F,80 %,W,9 mph,0 mph,29.30 in,0.0 in,Fair,-5.0,4.02336,99221.227
2023/1/1 7:00 PM,23 °F,19 °F,86 %,WSW,6 mph,0 mph,29.31 in,0.0 in,Partly Cloudy,-5.0,2.68224,99255.0909
2023/1/1 7:21 PM,25 °F,19 °F,80 %,WSW,7 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy,-3.888888888888889,3.12928,99288.95479999999
2023/1/1 8:00 PM,25 °F,19 °F,80 %,W,6 mph,0 mph,29.32 in,0.0 in,Cloudy,-3.888888888888889,2.68224,99288.95479999999
2023/1/1 8:37 PM,25 °F,21 °F,86 %,W,8 mph,0 mph,29.33 in,0.0 in,Light Snow,-3.888888888888889,3.57632,99322.81869999999
2023/1/1 9:00 PM,25 °F,21 °F,86 %,WNW,7 mph,0 mph,29.34 in,0.0 in,Light Snow,-3.888888888888889,3.12928,99356.6826
