Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
1:00 AM,34 °F,27 °F,75 %,E,7 mph,0 mph,29.78 in,0.0 in,Cloudy
2:00 AM,34 °F,27 °F,75 %,NE,9 mph,0 mph,29.77 in,0.0 in,Cloudy
3:00 AM,34 °F,21 °F,60 %,E,7 mph,0 mph,29.76 in,0.0 in,Cloudy
4:00 AM,34 °F,23 °F,65 %,ENE,13 mph,0 mph,29.74 in,0.0 in,Cloudy
5:00 AM,32 °F,27 °F,80 %,ENE,9 mph,0 mph,29.75 in,0.0 in,Cloudy
6:00 AM,32 °F,28 °F,87 %,NE,8 mph,0 mph,29.73 in,0.0 in,Cloudy
7:00 AM,32 °F,25 °F,75 %,E,9 mph,0 mph,29.72 in,0.0 in,Partly Cloudy
8:00 AM,30 °F,27 °F,86 %,E,10 mph,0 mph,29.73 in,0.0 in,Partly Cloudy
9:00 AM,32 °F,27 °F,80 %,E,8 mph,0 mph,29.74 in,0.0 in,Mostly Cloudy
10:00 AM,32 °F,25 °F,75 %,ENE,14 mph,0 mph,29.73 in,0.0 in,Mostly Cloudy
11:00 AM,34 °F,23 °F,65 %,ENE,14 mph,0 mph,29.74 in,0.0 in,Cloudy
12:00 PM,34 °F,25 °F,70 %,ENE,10 mph,0 mph,29.72 in,0.0 in,Mostly Cloudy
1:00 PM,36 °F,27 °F,70 %,E,10 mph,0 mph,29.70 in,0.0 in,Cloudy
2:00 PM,34 °F,27 °F,75 %,ENE,15 mph,0 mph,29.66 in,0.0 in,Cloudy
3:00 PM,34 °F,27 °F,75 %,ENE,14 mph,0 mph,29.64 in,0.0 in,Cloudy
4:00 PM,34 °F,27 °F,75 %,E,9 mph,17 mph,29.64 in,0.0 in,Cloudy
5:00 PM,32 °F,27 °F,80 %,E,12 mph,0 mph,29.64 in,0.0 in,Cloudy
6:00 PM,32 °F,27 °F,80 %,ENE,10 mph,0 mph,29.63 in,0.0 in,Cloudy
7:00 PM,32 °F,28 °F,87 %,ENE,15 mph,0 mph,29.63 in,0.0 in,Cloudy
8:00 PM,32 °F,28 °F,87 %,ENE,9 mph,0 mph,29.62 in,0.0 in,Cloudy
9:00 PM,32 °F,28 °F,87 %,ENE,10 mph,0 mph,29.61 in,0.0 in,Cloudy
10:00 PM,32 °F,28 °F,87 %,ENE,9 mph,0 mph,29.59 in,0.0 in,Cloudy
11:00 PM,34 °F,28 °F,81 %,ENE,8 mph,0 mph,29.56 in,0.0 in,Cloudy
12:00 AM,34 °F,28 °F,81 %,ENE,9 mph,0 mph,29.55 in,0.0 in,Cloudy
