Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
12:00 AM,45 °F,43 °F,93 %,WNW,9 mph,0 mph,28.98 in,0.0 in,Light Rain
1:00 AM,45 °F,43 °F,93 %,W,9 mph,0 mph,28.96 in,0.0 in,Light Rain
2:00 AM,45 °F,43 °F,93 %,W,9 mph,0 mph,28.96 in,0.0 in,Light Rain
2:41 AM,45 °F,43 °F,93 %,W,9 mph,0 mph,28.94 in,0.0 in,Light Rain
3:00 AM,45 °F,43 °F,93 %,W,10 mph,0 mph,28.94 in,0.0 in,Light Rain
4:00 AM,45 °F,43 °F,93 %,W,8 mph,0 mph,28.93 in,0.0 in,Light Rain
5:00 AM,45 °F,45 °F,100 %,W,9 mph,0 mph,28.93 in,0.0 in,Light Rain
5:42 AM,45 °F,45 °F,100 %,W,7 mph,0 mph,28.93 in,0.0 in,Light Rain
6:00 AM,45 °F,45 °F,100 %,W,8 mph,0 mph,28.93 in,0.0 in,Light Rain
6:40 AM,45 °F,45 °F,100 %,W,8 mph,0 mph,28.93 in,0.0 in,Light Rain
7:00 AM,45 °F,45 °F,100 %,W,9 mph,0 mph,28.93 in,0.0 in,Light Rain
7:38 AM,45 °F,45 °F,100 %,W,7 mph,0 mph,28.94 in,0.0 in,Cloudy
8:00 AM,46 °F,45 °F,93 %,W,8 mph,0 mph,28.94 in,0.0 in,Mostly Cloudy
9:00 AM,48 °F,48 °F,100 %,W,9 mph,0 mph,28.95 in,0.0 in,Mostly Cloudy
10:00 AM,50 °F,48 °F,94 %,WNW,7 mph,0 mph,28.96 in,0.0 in,Mostly Cloudy
11:00 AM,54 °F,50 °F,88 %,NW,6 mph,0 mph,28.96 in,0.0 in,Cloudy
12:00 PM,57 °F,48 °F,72 %,NNE,7 mph,0 mph,28.95 in,0.0 in,Mostly Cloudy
12:35 PM,55 °F,48 °F,77 %,NNW,6 mph,0 mph,28.95 in,0.0 in,Light Rain Shower
1:00 PM,57 °F,48 °F,72 %,N,7 mph,0 mph,28.95 in,0.0 in,Light Rain Shower
1:44 PM,57 °F,48 °F,72 %,NE,7 mph,0 mph,28.96 in,0.0 in,Cloudy
2:00 PM,57 °F,48 °F,72 %,NE,9 mph,0 mph,28.96 in,0.0 in,Cloudy
3:00 PM,55 °F,46 °F,72 %,NNE,10 mph,0 mph,28.98 in,0.0 in,Cloudy
4:00 PM,55 °F,46 °F,72 %,NNE,8 mph,0 mph,28.99 in,0.0 in,Mostly Cloudy
5:00 PM,55 °F,46 °F,72 %,N,6 mph,0 mph,29.00 in,0.0 in,Mostly Cloudy
6:00 PM,54 °F,46 °F,77 %,N,6 mph,0 mph,29.02 in,0.0 in,Mostly Cloudy
7:00 PM,54 °F,46 °F,77 %,NNE,7 mph,0 mph,29.04 in,0.0 in,Mostly Cloudy
8:00 PM,50 °F,46 °F,87 %,N,6 mph,0 mph,29.04 in,0.0 in,Mostly Cloudy
9:00 PM,52 °F,46 °F,82 %,NNW,6 mph,0 mph,29.05 in,0.0 in,Cloudy
10:00 PM,50 °F,46 °F,87 %,N,5 mph,0 mph,29.05 in,0.0 in,Mostly Cloudy
11:00 PM,50 °F,45 °F,82 %,N,5 mph,0 mph,29.05 in,0.0 in,Cloudy
